연도,읍면동,구분,노지온주(극조생),노지온주(조생),노지온주(보통),하우스감귤(조기출하),비가림(월동)감귤,만감류(시설),만감류(노지),데이터기준일
2014,효돈동,농가수,52.0,669.0,0.0,32.0,30.0,177.0,0.0,2024-05-13 00:00:00
2014,효돈동,면적,36.0,299.0,0.0,15.0,21.0,54.0,0.0,2024-05-13 00:00:00
2014,효돈동,생산량,1483.0,9253.0,0.0,1307.0,460.0,1298.0,0.0,2024-05-13 00:00:00
2014,영천동,농가수,62.0,781.0,24.0,9.0,57.0,338.0,0.0,2024-05-13 00:00:00
2014,영천동,면적,29.0,622.0,20.0,4.0,32.0,128.0,0.0,2024-05-13 00:00:00
2014,영천동,생산량,953.0,19315.0,779.0,264.0,907.0,3411.0,0.0,2024-05-13 00:00:00
2014,동홍동,농가수,15.0,431.0,8.0,0.0,6.0,51.0,0.0,2024-05-13 00:00:00
2014,동홍동,면적,10.0,161.0,6.0,0.0,2.0,17.0,0.0,2024-05-13 00:00:00
2014,동홍동,생산량,320.0,4278.0,156.0,0.0,128.0,453.0,0.0,2024-05-13 00:00:00
2014,서홍동,농가수,15.0,318.0,19.0,40.0,13.0,29.0,0.0,2024-05-13 00:00:00
2014,서홍동,면적,12.0,247.0,11.0,15.0,6.0,13.0,0.0,2024-05-13 00:00:00
2014,서홍동,생산량,405.0,6900.0,310.0,1333.0,155.0,237.0,0.0,2024-05-13 00:00:00
2014,대륜동,농가수,15.0,404.0,11.0,3.0,0.0,96.0,6.0,2024-05-13 00:00:00
2014,대륜동,면적,13.0,438.0,6.0,1.0,0.0,36.0,1.0,2024-05-13 00:00:00
2014,대륜동,생산량,429.0,14031.0,123.0,98.0,0.0,901.0,14.0,2024-05-13 00:00:00
2014,대천동,농가수,86.0,764.0,41.0,28.0,80.0,590.0,5.0,2024-05-13 00:00:00
2014,대천동,면적,83.0,526.0,32.0,12.0,60.0,173.0,1.0,2024-05-13 00:00:00
2014,대천동,생산량,2742.0,16170.0,777.0,1043.0,1577.0,5566.0,12.0,2024-05-13 00:00:00
2014,중문동,농가수,95.0,1365.0,12.0,18.0,47.0,169.0,14.0,2024-05-13 00:00:00
2014,중문동,면적,67.0,563.0,9.0,4.0,30.0,54.0,3.0,2024-05-13 00:00:00
2014,중문동,생산량,2204.0,17480.0,230.0,368.0,841.0,1678.0,92.0,2024-05-13 00:00:00
2014,예래동,농가수,33.0,649.0,6.0,8.0,6.0,117.0,11.0,2024-05-13 00:00:00
2014,예래동,면적,29.0,579.0,3.0,3.0,6.0,33.0,2.0,2024-05-13 00:00:00
2014,예래동,생산량,994.0,18752.0,105.0,215.0,104.0,985.0,39.0,2024-05-13 00:00:00
2015,대정읍,농가수,0.0,0.0,0.0,0.0,118.0,217.0,16.0,2024-05-13 00:00:00
2015,대정읍,면적,39.4,492.7,0.0,0.0,62.4,69.9,4.0,2024-05-13 00:00:00
2015,대정읍,생산량,977.0,12275.0,0.0,0.0,1281.0,2525.0,139.1,2024-05-13 00:00:00
2015,남원읍,농가수,171.0,3576.0,210.0,419.0,752.0,1292.0,126.0,2024-05-13 00:00:00
2015,남원읍,면적,158.0,3301.5,194.2,161.2,611.9,558.9,33.0,2024-05-13 00:00:00
2015,남원읍,생산량,4134.0,126021.0,8118.0,13999.0,12677.0,21150.9,808.0,2024-05-13 00:00:00
2015,성산읍,농가수,73.0,1049.0,36.0,1.0,146.0,147.0,54.0,2024-05-13 00:00:00
2015,성산읍,면적,39.0,812.9,20.0,0.3,59.1,62.2,5.0,2024-05-13 00:00:00
2015,성산읍,생산량,1016.0,24097.0,710.0,16.0,1223.0,1392.0,100.0,2024-05-13 00:00:00
2015,안덕면,농가수,235.0,965.0,29.0,14.0,132.0,151.0,22.0,2024-05-13 00:00:00
